"subset","k.reps","n.studies","Tau.mn","Perc.Tau.GT0","Phat0.mn","Phat10.mn","Phat20.mn","Porig.md","Porig.signif.0.05","Porig.signif.0.01","Psignif.agree.mn"
"all",101,10,0.033,40,50,10,0,0.03,0.7,0.3,0.93
"Revised",55,10,0.036,40,60,30,10,0.04,0.5,0.2,0.9
"RP:P",46,10,0.025,30,60,10,0,0.02,0.8,0.3,0.92
